first	second
EIF2AK4	MLF2
BAG5	MLF2
DNM3	MLF2
NOD1	MLF2
AAR2	MLF2
RASSF9	A2ML1
WWOX	A2ML1
YBX1	HNRNPUL1
TYROBP	CD300LB
HSF2	CD300LB
REL	KLHL40
CEBPE	IL7
CD247	SF3B3
CFTR	CLCA1
ITGB4	CLCA1
GRB2	CLCA1
KCNMB1	CLCA1
UBC	EFCAB7
CRX	SFI1
LPXN	SFI1
KRT19	SFI1
GCSH	SFI1
CETN2	SFI1
PPP1CA	SFI1
ZNF322	SFI1
CDC5L	SFI1
EHMT2	ZNF785
MTUS2	ZNF785
PRR7	ZNF785
HOOK1	ZNF785
MID2	ZNF785
PTBP3	ERI2
RNASEH2B	ERI2
RHOBTB2	ERI2
IPP	ERI2
PIK3C2A	PFAS
FOXO3	PFAS
NIPSNAP2	PFAS
GABARAP	PFAS
PRKAG1	PFAS
NRBF2	PFAS
ATG101	PFAS
DDA1	PFAS
UBA5	PFAS
ATG10	PFAS
SH3GLB2	PFAS
PRKAG2	PFAS
CALCOCO2	BCL6B
RBPMS	BCL6B
TRAF4	BCL6B
UBC	YDJC
MOV10	YDJC
PRKCZ	GABRR3
STAT4	GABRR3
CACNA1A	CYSRT1
UBC	ZNF850
SSB	NEURL1B
NOTCH1	NEURL1B
UBE2D2	NEURL1B
UBE2I	CENPX
REL	CENPX
NKX3-1	CENPX
TRIM54	CENPX
UBC	GNAT3
SNTA1	GNAT3
GNG13	GNAT3
SHMT2	BBIP1
ARL6	BBIP1
UBC	ZNF727
KDM5B	VGLL3
UBC	FAM171A2
PSMA3	FAM171A2
CAMK2B	FAM171A2
TERT	PHF20L1
UBC	PHF20L1
ELAVL4	PHF20L1
HIST1H3A	PHF20L1
CASP10	PHF20L1
WWP1	PHF20L1
KAT8	PHF20L1
LYAR	PHF20L1
BCL2	BECN2
PPP1CA	GRXCR1
UBD	NUDT19
UBC	NUDT19
MYH10	NUDT19
PEX5	NUDT19
MYL6	NUDT19
NPC2	NUDT19
YWHAE	NUDT19
YWHAZ	NUDT19
SUMO1	NUDT19
SLC9A3R2	NUDT19
NEDD8	NUDT19
CHD5	NUDT19
CAND1	TTC34
UBC	COL6A5
HIST1H1C	KPNA7
DHX16	MIF4GD
SVIL	MIF4GD
PPARG	MIF4GD
HDAC4	MIF4GD
ILF2	MIF4GD
EXOSC6	MIF4GD
PDE4DIP	MIF4GD
HINFP	MIF4GD
UBQLN4	MIF4GD
